CTA cost		variance		
12	12	1137.7129		
12	12	1137.7129		
12	12	1137.7129		
15	12	1137.7129		
24	14	1006.7929		
35	15	944.3329		
14	21	611.5729		
12	22	563.1129		
120	24	472.1929		
55	28	314.3529		
45	30	247.4329		
30	35	115.1329		
40	36	94.6729		
40	39	45.2929		
40	40	32.8329		
60	40	32.8329		
60	40	32.8329		
40	40	32.8329		
50	45	0.5329		
22	50	18.2329		
36	50	18.2329		
28	55	85.9329		
21	60	203.6329		
50	60	203.6329		
39	60	203.6329		
60	90	1959.8329		
90	100	2945.2329		
100	100	2945.2329		
110	110	4130.6329		
100	120	5516.0329		
		27327.867	942.3402414	
			30.69756084	
